ticket_id,subject,description,category,priority,resolution_time_hours
200102,Delete my account,"Please help, delete my account",Account,Low,29
205402,Database connection failed,Database connection failed - please checking,Technical,High,8
207586,Need export to PDF feature,"Please help, need export to pdf feature",Feature Request,Low,41
208379,Integration with Slack would be nice,Help needed: Integration with Slack would be nice,Feature Request,Low,28
208530,Need export to PDF feature,Issues with: Need export to PDF feature,Feature Request,Low,47
209840,Integration with Slack would be nice,Getting error: Integration with Slack would be nice,Feature Request,High,6
205306,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,12
208797,Support for multiple languages,Support for multiple languages - please checking,Technical,Low,18
202961,Charge on my credit card is wrong,Getting error: Charge on my credit card is wrong,Billing,High,7
200718,Need to update profile details,Need to update profile details - please checking,Account,Medium,10
209398,Need export to PDF feature,"Please help, need export to pdf feature",Feature Request,Low,10
209420,Calendar view needed,Issues with: Calendar view needed,Feature Request,Low,8
200822,Change email address,Getting error: Change email address,Account,High,6
207896,Support for multiple languages,Support for multiple languages - please checking,Feature Request,Low,39
204331,Upgrade my plan,Upgrade my plan - please checking,Billing,Low,12
205314,Screen freezes when clicking save,Screen freezes when clicking save,Technical,Low,17
207208,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,43
202506,Need invoice for last month,Issues with: Need invoice for last month,Billing,Low,13
207695,Integration with Slack would be nice,Getting error: Integration with Slack would be nice,Feature Request,High,5
208537,Integration with Slack would be nice,Help needed: Integration with Slack would be nice,Account,Low,11
204237,Cancel my billing,Cancel my billing - please checking,Billing,Low,15
207886,Add dark mode support,Urgent: Add dark mode support,Feature Request,High,7
207817,Mobile responsive design request,"Please help, mobile responsive design request",Feature Request,Low,11
202262,Two-factor authentication issue,Issues with: Two-factor authentication issue,Account,Low,10
204691,Update credit card information,Update credit card information,Billing,Medium,12
203660,Cancel my billing,Issues with: Cancel my billing,Technical,Low,43
202827,Payment method declined,Getting error: Payment method declined,Billing,High,5
209033,Mobile responsive design request,Mobile responsive design request - please checking,Feature Request,Low,35
208115,Add dark mode support,Customer reports: Add dark mode support,Feature Request,Low,35
208042,Add bulk upload capability,"Please help, add bulk upload capability",Feature Request,Low,13
208346,Support for multiple languages,"Please help, support for multiple languages",Feature Request,Low,13
207367,Bug in the reporting widget,Getting error: Bug in the reporting widget,Technical,High,3
206597,Screen freezes when clicking save,Help needed: Screen freezes when clicking save,Technical,Low,25
207670,Support for multiple languages,"Please help, support for multiple languages",Feature Request,Critical,2
200421,Profile picture upload failed,Customer reports: Profile picture upload failed,Account,High,4
201235,Forgot my password,Forgot my password - please checking,Technical,Low,22
200271,Profile picture upload failed,Profile picture upload failed - please checking,Account,High,5
204939,Subscription renewal failed,Subscription renewal failed,Billing,High,3
208498,Add bulk upload capability,Issues with: Add bulk upload capability,Feature Request,Low,24
206747,Mobile app unresponsive,Mobile app unresponsive - please checking,Technical,Medium,6
209185,Need export to PDF feature,Need export to PDF feature - please checking,Feature Request,Low,46
209531,Requesting API documentation,Customer reports: Requesting API documentation,Feature Request,Low,18
206681,API endpoint returning 500,Getting error: API endpoint returning 500,Technical,High,6
202907,Subscription renewal failed,Subscription renewal failed - please checking,Billing,High,4
206936,Page loading very slow,Issues with: Page loading very slow,Technical,Medium,11
200090,Unlock my user account,Unlock my user account - please checking,Account,Low,39
204472,Double charged for subscription,Urgent: Double charged for subscription,Billing,High,2
207846,Add custom fields to reports,Issues with: Add custom fields to reports,Billing,Low,20
203928,Where is my receipt?,Where is my receipt?,Billing,Low,13
203604,Where is my receipt?,Getting error: Where is my receipt?,Billing,High,6
206143,App crashes on startup,Customer reports: App crashes on startup,Technical,Critical,1
207777,Add dark mode support,Help needed: Add dark mode support,Feature Request,Low,43
200402,Unlock my user account,Customer reports: Unlock my user account,Account,Low,10
205051,Screen freezes when clicking save,Customer reports: Screen freezes when clicking save,Technical,Low,36
205220,System outage,Help needed: System outage,Technical,Critical,3
200881,Profile picture upload failed,Profile picture upload failed - please checking,Account,High,8
205362,Database connection failed,Database connection failed,Technical,High,7
203356,Need invoice for last month,Help needed: Need invoice for last month,Billing,Low,27
202176,Change email address,Change email address,Account,Low,28
200471,Account locked out,Urgent: Account locked out,Billing,High,2
203673,Double charged for subscription,Getting error: Double charged for subscription,Billing,High,3
206837,Page loading very slow,Help needed: Page loading very slow,Technical,Medium,5
201527,Two-factor authentication issue,Getting error: Two-factor authentication issue,Billing,Medium,8
209512,Add bulk upload capability,Urgent: Add bulk upload capability,Feature Request,High,2
209375,Requesting API documentation,"Please help, requesting api documentation",Feature Request,Low,28
207868,Please add more user roles,Issues with: Please add more user roles,Feature Request,Low,29
209291,Requesting API documentation,Issues with: Requesting API documentation,Feature Request,Low,37
200950,Reset password link not working,Help needed: Reset password link not working,Account,Low,15
208356,Please add more user roles,Please add more user roles - please checking,Feature Request,High,8
207094,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,31
202375,Unlock my user account,Customer reports: Unlock my user account,Account,Low,30
206348,Integration not syncing data,Integration not syncing data - please checking,Billing,Low,38
208881,Mobile responsive design request,Urgent: Mobile responsive design request,Feature Request,High,6
206605,Error 404 not found,Error 404 not found,Technical,Low,35
204210,Cancel my billing,"Please help, cancel my billing",Billing,Low,35
209057,Requesting API documentation,Requesting API documentation - please checking,Feature Request,Low,8
203434,Subscription renewal failed,Issues with: Subscription renewal failed,Billing,High,5
209298,Integration with Slack would be nice,Help needed: Integration with Slack would be nice,Feature Request,Medium,4
208031,Support for multiple languages,Customer reports: Support for multiple languages,Feature Request,High,2
206518,Page loading very slow,Page loading very slow - please checking,Technical,Medium,4
202769,Update credit card information,Getting error: Update credit card information,Billing,High,7
209238,Please add more user roles,Urgent: Please add more user roles,Feature Request,High,8
202835,Upgrade my plan,Getting error: Upgrade my plan,Billing,High,4
207484,Page loading very slow,Urgent: Page loading very slow,Technical,Low,10
200719,Need to update profile details,Need to update profile details - please checking,Account,Medium,10
209121,Need export to PDF feature,"Please help, need export to pdf feature",Feature Request,Low,9
201233,Forgot my password,"Please help, forgot my password",Account,Low,9
200873,Change email address,Customer reports: Change email address,Account,Low,18
202786,Payment method declined,Getting error: Payment method declined,Billing,High,4
200576,Forgot my password,Urgent: Forgot my password,Account,High,6
207423,Screen freezes when clicking save,Help needed: Screen freezes when clicking save,Technical,Low,22
203896,Upgrade my plan,Issues with: Upgrade my plan,Billing,Low,43
209522,Add dark mode support,Help needed: Add dark mode support,Feature Request,Low,38
202032,Reset password link not working,Customer reports: Reset password link not working,Billing,Low,22
209948,Calendar view needed,Calendar view needed - please checking,Feature Request,Low,43
205113,Bug in the reporting widget,Issues with: Bug in the reporting widget,Technical,Medium,24
209865,Add custom fields to reports,Help needed: Add custom fields to reports,Feature Request,High,6
200509,Delete my account,Getting error: Delete my account,Account,High,5
203773,Refund request,Getting error: Refund request,Billing,High,4
206390,Screen freezes when clicking save,Issues with: Screen freezes when clicking save,Technical,Low,30
204351,Update credit card information,Getting error: Update credit card information,Billing,High,5
206889,Error 404 not found,Customer reports: Error 404 not found,Technical,High,2
208392,Add custom fields to reports,Add custom fields to reports,Feature Request,Low,37
203069,Refund request,Refund request,Billing,Low,42
202775,Payment method declined,Getting error: Payment method declined,Billing,High,3
200770,Reset password link not working,Reset password link not working,Account,Low,43
208049,Support for multiple languages,Getting error: Support for multiple languages,Feature Request,High,8
208506,Add custom fields to reports,Customer reports: Add custom fields to reports,Feature Request,Medium,19
203001,Subscription renewal failed,Urgent: Subscription renewal failed,Billing,High,8
202246,Forgot my password,Help needed: Forgot my password,Account,Low,9
202673,Subscription renewal failed,"Please help, subscription renewal failed",Billing,High,6
202587,Cancel my billing,Customer reports: Cancel my billing,Billing,Low,42
207566,Requesting API documentation,Urgent: Requesting API documentation,Feature Request,High,7
204308,Payment method declined,Payment method declined - please checking,Billing,Low,23
208225,Add custom fields to reports,Urgent: Add custom fields to reports,Feature Request,High,6
208279,Add dark mode support,"Please help, add dark mode support",Feature Request,Low,20
207393,Mobile app unresponsive,"Please help, mobile app unresponsive",Technical,Low,15
207065,Integration not syncing data,Urgent: Integration not syncing data,Technical,High,6
205404,Database connection failed,Issues with: Database connection failed,Technical,High,5
209872,Add bulk upload capability,Getting error: Add bulk upload capability,Feature Request,High,8
206145,Mobile app unresponsive,Issues with: Mobile app unresponsive,Feature Request,Low,33
208897,Support for multiple languages,Issues with: Support for multiple languages,Feature Request,Low,23
203805,Charge on my credit card is wrong,Issues with: Charge on my credit card is wrong,Billing,High,7
201884,Forgot my password,"Please help, forgot my password",Account,Low,16
205759,Mobile app unresponsive,Urgent: Mobile app unresponsive,Technical,High,3
208424,Mobile responsive design request,Urgent: Mobile responsive design request,Feature Request,High,3
201213,Account locked out,Issues with: Account locked out,Account,Low,16
207902,Add bulk upload capability,Add bulk upload capability - please checking,Feature Request,Low,12
200184,Reset password link not working,Getting error: Reset password link not working,Feature Request,Low,23
200640,Cannot login to my account,Cannot login to my account - please checking,Account,Low,10
205869,App crashes on startup,Customer reports: App crashes on startup,Technical,Critical,1
201793,Reset password link not working,Getting error: Reset password link not working,Account,High,3
209961,Integration with Slack would be nice,Integration with Slack would be nice,Feature Request,Low,17
205098,Database connection failed,Database connection failed,Technical,High,8
208758,Add bulk upload capability,Add bulk upload capability,Feature Request,Low,18
205826,API endpoint returning 500,Urgent: API endpoint returning 500,Technical,High,6
207966,Integration with Slack would be nice,Integration with Slack would be nice - please checking,Feature Request,Critical,4
205616,Screen freezes when clicking save,Issues with: Screen freezes when clicking save,Technical,Low,15
205708,Mobile app unresponsive,Issues with: Mobile app unresponsive,Feature Request,Low,37
205463,Mobile app unresponsive,Issues with: Mobile app unresponsive,Technical,Low,32
207645,Need export to PDF feature,Need export to PDF feature,Feature Request,Low,25
202803,Payment method declined,Urgent: Payment method declined,Billing,High,3
206788,App crashes on startup,Urgent: App crashes on startup,Technical,High,4
209524,Support for multiple languages,Customer reports: Support for multiple languages,Feature Request,Low,46
203647,Refund request,Help needed: Refund request,Billing,Low,27
203094,Cancel my billing,Urgent: Cancel my billing,Billing,High,8
204023,Update credit card information,"Please help, update credit card information",Billing,Medium,4
200989,Delete my account,"Please help, delete my account",Account,Low,40
209487,Calendar view needed,Customer reports: Calendar view needed,Feature Request,Low,34
205810,Screen freezes when clicking save,Customer reports: Screen freezes when clicking save,Technical,Critical,3
205160,Bug in the reporting widget,Issues with: Bug in the reporting widget,Technical,Medium,10
206986,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,16
202295,Two-factor authentication issue,Two-factor authentication issue,Account,Low,28
208927,Please add more user roles,Urgent: Please add more user roles,Feature Request,High,7
203898,Need invoice for last month,Getting error: Need invoice for last month,Billing,High,7
209422,Support for multiple languages,"Please help, support for multiple languages",Feature Request,Low,24
203617,Update credit card information,Urgent: Update credit card information,Billing,High,3
205064,App crashes on startup,Urgent: App crashes on startup,Technical,High,5
203453,Upgrade my plan,Customer reports: Upgrade my plan,Billing,Low,28
209783,Add bulk upload capability,Getting error: Add bulk upload capability,Feature Request,High,4
208480,Support for multiple languages,Help needed: Support for multiple languages,Feature Request,Low,12
202819,Subscription renewal failed,Urgent: Subscription renewal failed,Billing,High,8
207074,Integration not syncing data,Issues with: Integration not syncing data,Technical,Low,41
203581,Charge on my credit card is wrong,Getting error: Charge on my credit card is wrong,Billing,High,2
202849,Subscription renewal failed,Subscription renewal failed - please checking,Billing,High,6
209366,Requesting API documentation,Getting error: Requesting API documentation,Feature Request,High,8
206632,Integration not syncing data,Integration not syncing data,Technical,Low,31
206330,Integration not syncing data,Issues with: Integration not syncing data,Technical,Low,18
204302,Double charged for subscription,Getting error: Double charged for subscription,Billing,High,2
208553,Add dark mode support,Issues with: Add dark mode support,Feature Request,Low,41
203415,Upgrade my plan,Urgent: Upgrade my plan,Billing,High,6
202677,Need invoice for last month,Help needed: Need invoice for last month,Billing,Low,26
209700,Add dark mode support,Add dark mode support,Feature Request,Low,46
201921,Reset password link not working,Customer reports: Reset password link not working,Account,Low,12
202650,Update credit card information,Update credit card information,Account,Medium,18
205874,Integration not syncing data,Getting error: Integration not syncing data,Technical,High,4
205856,App crashes on startup,Help needed: App crashes on startup,Technical,Critical,4
206349,Database connection failed,Database connection failed - please checking,Technical,High,4
203842,Need invoice for last month,Need invoice for last month,Billing,Low,25
208125,Add custom fields to reports,"Please help, add custom fields to reports",Feature Request,Critical,2
204571,Where is my receipt?,Where is my receipt? - please checking,Billing,Low,35
202270,Reset password link not working,Customer reports: Reset password link not working,Account,Low,26
203254,Refund request,Refund request,Account,Low,22
201239,Profile picture upload failed,Issues with: Profile picture upload failed,Account,High,4
208891,Add bulk upload capability,Add bulk upload capability - please checking,Feature Request,Low,14
200000,Forgot my password,Getting error: Forgot my password,Billing,Critical,1
202952,Where is my receipt?,Help needed: Where is my receipt?,Billing,Low,37
208520,Please add more user roles,Help needed: Please add more user roles,Feature Request,Low,8
200089,Unlock my user account,"Please help, unlock my user account",Account,Low,31
209410,Please add more user roles,Urgent: Please add more user roles,Feature Request,High,8
207466,Mobile app unresponsive,Getting error: Mobile app unresponsive,Technical,High,8
202421,Account locked out,Customer reports: Account locked out,Account,Low,8
206462,Error 404 not found,Error 404 not found,Technical,High,4
209489,Requesting API documentation,Getting error: Requesting API documentation,Feature Request,High,5
209292,Need export to PDF feature,Help needed: Need export to PDF feature,Feature Request,Low,40
209873,Requesting API documentation,Help needed: Requesting API documentation,Feature Request,Low,27
205760,Bug in the reporting widget,Help needed: Bug in the reporting widget,Billing,Low,37
202410,Forgot my password,Forgot my password,Account,Medium,19
205979,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,41
205001,System outage,Urgent: System outage,Technical,Critical,2
205420,System outage,System outage - please checking,Technical,Low,22
202531,Charge on my credit card is wrong,Charge on my credit card is wrong - please checking,Billing,Low,20
206598,Screen freezes when clicking save,"Please help, screen freezes when clicking save",Technical,Low,16
208041,Add bulk upload capability,Urgent: Add bulk upload capability,Account,High,3
207741,Calendar view needed,Customer reports: Calendar view needed,Feature Request,Low,20
202577,Cancel my billing,Urgent: Cancel my billing,Billing,High,4
205124,Error 404 not found,Getting error: Error 404 not found,Technical,High,7
201606,Change email address,Issues with: Change email address,Account,Low,21
208416,Calendar view needed,Urgent: Calendar view needed,Feature Request,High,3
201804,Cannot login to my account,Help needed: Cannot login to my account,Account,Low,47
208383,Add custom fields to reports,"Please help, add custom fields to reports",Feature Request,Low,45
206962,Screen freezes when clicking save,Customer reports: Screen freezes when clicking save,Technical,Low,46
200879,Two-factor authentication issue,Issues with: Two-factor authentication issue,Account,Low,25
209540,Please add more user roles,Customer reports: Please add more user roles,Feature Request,Low,46
201163,Forgot my password,Help needed: Forgot my password,Account,Low,48
208212,Integration with Slack would be nice,Customer reports: Integration with Slack would be nice,Feature Request,Low,31
206674,Error 404 not found,"Please help, error 404 not found",Technical,High,8
208093,Mobile responsive design request,Mobile responsive design request,Feature Request,Low,26
206259,API endpoint returning 500,"Please help, api endpoint returning 500",Technical,Low,22
209807,Add bulk upload capability,Customer reports: Add bulk upload capability,Technical,Low,10
204254,Charge on my credit card is wrong,Getting error: Charge on my credit card is wrong,Billing,High,2
209226,Please add more user roles,Help needed: Please add more user roles,Feature Request,Low,35
202869,Charge on my credit card is wrong,Help needed: Charge on my credit card is wrong,Billing,Low,22
201167,Delete my account,Delete my account - please checking,Account,Low,45
204387,Payment method declined,Help needed: Payment method declined,Billing,Low,23
200164,Need to update profile details,Urgent: Need to update profile details,Account,High,4
201193,Reset password link not working,Help needed: Reset password link not working,Account,Low,10
206616,System outage,System outage,Technical,Critical,3
209286,Need export to PDF feature,Getting error: Need export to PDF feature,Feature Request,High,3
209154,Integration with Slack would be nice,Integration with Slack would be nice - please checking,Feature Request,Low,23
201626,Cannot login to my account,"Please help, cannot login to my account",Account,Low,16
201692,Unlock my user account,Urgent: Unlock my user account,Account,High,2
208050,Add bulk upload capability,Add bulk upload capability,Feature Request,Low,22
205000,Integration not syncing data,Integration not syncing data,Technical,Low,14
203905,Update credit card information,Update credit card information - please checking,Billing,Medium,8
204507,Charge on my credit card is wrong,Customer reports: Charge on my credit card is wrong,Billing,Low,30
209306,Mobile responsive design request,Mobile responsive design request,Feature Request,Low,22
204121,Refund request,Help needed: Refund request,Billing,Low,26
206106,Screen freezes when clicking save,Screen freezes when clicking save - please checking,Technical,Low,32
202345,Unlock my user account,Getting error: Unlock my user account,Account,Low,11
203335,Subscription renewal failed,Help needed: Subscription renewal failed,Billing,High,5
209223,Need export to PDF feature,"Please help, need export to pdf feature",Feature Request,Low,30
202748,Need invoice for last month,Urgent: Need invoice for last month,Billing,High,6
200860,Profile picture upload failed,Issues with: Profile picture upload failed,Account,High,8
202041,Need to update profile details,Issues with: Need to update profile details,Account,Medium,12
207910,Add dark mode support,Getting error: Add dark mode support,Feature Request,High,7
209011,Integration with Slack would be nice,Integration with Slack would be nice,Feature Request,Low,47
206975,Integration not syncing data,Customer reports: Integration not syncing data,Technical,Low,26
208826,Add custom fields to reports,Customer reports: Add custom fields to reports,Technical,High,3
209379,Requesting API documentation,Issues with: Requesting API documentation,Feature Request,Low,30
206162,Mobile app unresponsive,Mobile app unresponsive,Technical,Low,8
206288,Mobile app unresponsive,Urgent: Mobile app unresponsive,Technical,High,4
200458,Forgot my password,Getting error: Forgot my password,Account,High,4
206909,Database connection failed,Customer reports: Database connection failed,Technical,High,3
200692,Two-factor authentication issue,Help needed: Two-factor authentication issue,Account,Low,20
206796,Integration not syncing data,Issues with: Integration not syncing data,Technical,Low,13
207628,Calendar view needed,"Please help, calendar view needed",Feature Request,Low,21
201389,Forgot my password,Forgot my password,Account,Low,37
206534,Error 404 not found,Customer reports: Error 404 not found,Technical,High,5
203588,Need invoice for last month,"Please help, need invoice for last month",Billing,Low,36
206256,Database connection failed,Customer reports: Database connection failed,Technical,High,6
208620,Please add more user roles,Urgent: Please add more user roles,Feature Request,High,7
202009,Account locked out,Issues with: Account locked out,Account,Low,38
208033,Support for multiple languages,Help needed: Support for multiple languages,Feature Request,Low,37
209743,Mobile responsive design request,Urgent: Mobile responsive design request,Feature Request,High,3
202640,Charge on my credit card is wrong,Help needed: Charge on my credit card is wrong,Billing,Low,10
209042,Integration with Slack would be nice,Customer reports: Integration with Slack would be nice,Feature Request,Low,37
206565,API endpoint returning 500,"Please help, api endpoint returning 500",Technical,High,6
209678,Integration with Slack would be nice,Integration with Slack would be nice - please checking,Feature Request,Low,45
204704,Double charged for subscription,Double charged for subscription,Billing,Low,16
201503,Change email address,Urgent: Change email address,Account,High,4
207141,Error 404 not found,"Please help, error 404 not found",Technical,High,6
206999,App crashes on startup,Issues with: App crashes on startup,Technical,Critical,1
205643,Bug in the reporting widget,Getting error: Bug in the reporting widget,Technical,High,5
209068,Requesting API documentation,"Please help, requesting api documentation",Feature Request,Low,11
209510,Requesting API documentation,"Please help, requesting api documentation",Feature Request,Low,20
209752,Requesting API documentation,Getting error: Requesting API documentation,Account,High,3
206100,Page loading very slow,Help needed: Page loading very slow,Technical,Medium,14
200070,Reset password link not working,Reset password link not working,Account,Low,36
203790,Refund request,Refund request - please checking,Billing,Low,23
204445,Double charged for subscription,"Please help, double charged for subscription",Billing,Low,8
208376,Add bulk upload capability,Help needed: Add bulk upload capability,Feature Request,Low,45
201736,Profile picture upload failed,Help needed: Profile picture upload failed,Account,High,4
208600,Add dark mode support,"Please help, add dark mode support",Feature Request,Low,20
207545,Add custom fields to reports,Customer reports: Add custom fields to reports,Feature Request,Low,24
202751,Need invoice for last month,"Please help, need invoice for last month",Billing,Low,29
209733,Add custom fields to reports,Urgent: Add custom fields to reports,Feature Request,High,6
201004,Cannot login to my account,Cannot login to my account - please checking,Account,Low,30
201674,Account locked out,Help needed: Account locked out,Account,High,5
204536,Double charged for subscription,Double charged for subscription - please checking,Billing,Low,9
204679,Cancel my billing,Urgent: Cancel my billing,Billing,High,5
205324,Mobile app unresponsive,Getting error: Mobile app unresponsive,Technical,High,7
205573,System outage,Customer reports: System outage,Technical,Critical,3
204268,Upgrade my plan,Getting error: Upgrade my plan,Billing,High,8
209327,Support for multiple languages,Getting error: Support for multiple languages,Feature Request,High,7
205248,Bug in the reporting widget,Bug in the reporting widget - please checking,Technical,Medium,8
202310,Reset password link not working,"Please help, reset password link not working",Account,Low,10
206722,Database connection failed,Issues with: Database connection failed,Technical,High,3
209562,Requesting API documentation,Requesting API documentation - please checking,Feature Request,Low,23
209439,Support for multiple languages,Getting error: Support for multiple languages,Feature Request,High,4
205397,Integration not syncing data,Integration not syncing data - please checking,Technical,Low,8
209400,Mobile responsive design request,Issues with: Mobile responsive design request,Feature Request,Medium,19
204514,Subscription renewal failed,Getting error: Subscription renewal failed,Feature Request,High,3
200249,Forgot my password,Urgent: Forgot my password,Account,High,7
209096,Requesting API documentation,Getting error: Requesting API documentation,Feature Request,High,3
207738,Need export to PDF feature,Need export to PDF feature - please checking,Feature Request,Low,21
200880,Delete my account,Issues with: Delete my account,Account,Low,20
208180,Please add more user roles,Issues with: Please add more user roles,Feature Request,Low,21
202089,Unlock my user account,Getting error: Unlock my user account,Account,High,4
203123,Payment method declined,Payment method declined,Billing,Low,28
206580,Integration not syncing data,Help needed: Integration not syncing data,Technical,Low,31
204791,Need invoice for last month,Need invoice for last month - please checking,Billing,Low,15
206491,Database connection failed,Urgent: Database connection failed,Technical,High,6
205877,App crashes on startup,Urgent: App crashes on startup,Technical,Critical,2
200896,Forgot my password,"Please help, forgot my password",Technical,Low,12
203146,Cancel my billing,Urgent: Cancel my billing,Billing,High,6
